ID,Region,Gender,Degree,Marital,Religion,Happy,Income,Politics,GunLaw,OwnGun,SpendMilitary,SpendEduc,SpendEnv,SpendCity,Pres16,Age
1,Middle Atlantic,Male,Junior College,Never Married,Christian,NA,Below Average,Conservative,NA,Agree,NA,NA,Too Little,About Right,Romney,43
2,Middle Atlantic,Female,High School,Separated,Catholic,NA,Far Below Average,NA,Not Legal,NA,Too Much,Too Little,About Right,About Right,Obama,74
3,Middle Atlantic,Male,Bachelor,Married,None,Very Happy,Above Average,Slghtly Conservative,Legal,Agree,NA,NA,Too Little,NA,Romney,42
4,Middle Atlantic,Female,Bachelor,Married,Protestant,Very Happy,Above Average,Moderate,Not Legal,Disagree,Too Much,Too Little,Too Little,Too Little,Romney,63
5,Middle Atlantic,Male,Graduate,Divorced,Catholic,NA,Below Average,Extrmly Conservative,Not Legal,NA,About Right,Too Little,Too Little,About Right,Romney,71
6,New England,Female,Bachelor,Widowed,Catholic,NA,Average,Slightly Liberal,NA,NA,Too Much,Too Little,About Right,About Right,Obama,67
7,Middle Atlantic,Female,High School,Divorced,Protestant,NA,Average,Moderate,Legal,Disagree,Too Much,Too Little,About Right,Too Little,Obama,59
8,Middle Atlantic,Male,High School,Never Married,Catholic,NA,Far Below Average,Slghtly Conservative,Legal,Agree,NA,NA,Too Little,Too Little,NA,43
9,Middle Atlantic,Female,Lt High School,Widowed,None,NA,Far Below Average,Moderate,Legal,Disagree,NA,NA,About Right,Too Little,Obama,62
10,New England,Male,High School,Married,Protestant,Pretty Happy,Average,NA,Legal,Agree,Too Much,Too Little,Too Little,Too Much,NA,55
11,New England,Male,Graduate,Divorced,Catholic,NA,Above Average,Conservative,NA,Disagree,Too Much,Too Little,About Right,About Right,Romney,59
12,New England,Female,High School,Separated,Protestant,NA,Average,Moderate,NA,Disagree,NA,NA,About Right,Too Little,Obama,34
13,New England,Female,High School,Divorced,Catholic,NA,Above Average,Moderate,NA,NA,NA,NA,About Right,Too Little,NA,61
14,Foreign,Male,Bachelor,Married,Catholic,Very Happy,Far Below Average,Slightly Liberal,Legal,Strongly Agree,About Right,Too Little,Too Little,Too Little,NA,44
15,Middle Atlantic,Female,High School,Never Married,None,NA,Below Average,Liberal,Legal,NA,NA,NA,About Right,Too Little,Obama,41
16,Middle Atlantic,Female,High School,Widowed,Catholic,NA,Average,Slghtly Conservative,NA,Disagree,Too Much,Too Little,NA,Too Little,Obama,75
17,Middle Atlantic,Female,Bachelor,Married,None,Pretty Happy,Below Average,Liberal,Legal,NA,NA,Too Little,Too Little,Too Little,Obama,55
